Region	domainXplorer	AdjNeo	AdjNumMut	AdjRatio
ENSP00000292599-IDR-27-150	0.00516602174425983	0.0429540988005141	0.0268233407706162	0.00516354045044817
ENSP00000356311-IDR-387-437	0.0090820394040133	0.0412198143811219	0.0251415856859716	0.00905836396620384
ENSP00000419981-IDR-595-849	0.111201706658589	0.125866136644764	0.126796177761422	0.11136863292457
ENSP00000342576-IDR-249-298	0.000335758236063149	0.000453671708203022	0.00042550551675456	0.000336264622905572
ENSP00000266712-PF00515-446-479	0.00702855018023745	0.00818691518863577	0.00612465399840017	0.00696157093755655
ENSP00000315011-IDR-393-427	0.00119744005484721	0.00731071981802257	0.00702197567904512	0.0011988888855931
ENSP00000353452-IDR-836-1000	0.000646106591490737	0.0120353066565991	0.00829447587622692	0.000647480962327736
ENSP00000393379-PF00225-35-327	0.0754918865850391	0.0449542229087636	0.0459018440511619	0.0754876661955052
ENSP00000271971-PF00648-42-337	0.00014509434333957	0.000199554326293461	0.000189577411375565	0.000145894075450878
ENSP00000358316-IDR-175-310	0.056670895228069	0.00903488338062684	0.00945731217660137	0.0567219629673413
ENSP00000315454-ND-833-976	0.0623593825971449	0.194928758572265	0.195854933237571	0.0624909160004518
ENSP00000280772-IDR-4325-4377	0.00486364721757412	0.013991187490151	0.0150431886528751	0.00487965878349077
ENSP00000307831-PF00002-769-1016	0.348797516633267	0.0794688675833221	0.0649291567968932	0.347307990177908
ENSP00000455823-IDR-2190-2303	0.00471855858926083	0.00526604155062823	0.00590341634274426	0.00477987963353186
ENSP00000350267-IDR-685-733	0.114568427778556	0.0808997086016274	0.0773115769219138	0.114372085446209
ENSP00000357789-IDR-33-54	0.00275737493117037	0.00799619740655966	0.00762630156671157	0.00278704083428346
ENSP00000380413-PF00071-129-285	0.000851792242621016	0.00404984695727692	0.00397743819620442	0.000854865263134662
ENSP00000376134-IDR-140-193	0.30894740338191	0.36462745290223	0.364585553865071	0.308789589384843
ENSP00000278979-PF00782-9-135	0.0372906446058159	0.185725128443132	0.156092026727046	0.0372841713922919
ENSP00000308938-PF00089-582-803	0.00093491887019726	0.0084440115040277	0.00602071454011666	0.000935058351854637
ENSP00000228347-PF04560-1043-1128	0.0813929628846248	0.0419488303622746	0.0443515107240892	0.0809621899184464
ENSP00000275159-ND-162-390	0.240067369768264	0.102263511812881	0.100876996363318	0.240777497204051
ENSP00000360200-IDR-636-688	0.0246524573944447	0.141022653998155	0.137853026530731	0.024499133853327
ENSP00000393474-PF00530-168-264	0.00193949718519325	0.0253650104247913	0.0230566921080898	0.00195298307576731
ENSP00000443191-PF01344-381-431	0.00560712694302154	0.0135374332863254	0.0123234077721245	0.00562558120835821
ENSP00000370443-PF05986-718-829	0.0386901125405101	0.144944008884376	0.14416480073741	0.038820083497409
ENSP00000374309-PF02210-2514-2653	0.127849828384005	0.361005197029068	0.359057182982788	0.127939072076411
ENSP00000271450-IDR-257-317	0.000218797783838672	0.000393120582707244	0.000371310581036298	0.000219684495686114
ENSP00000311679-IDR-121-173	0.00717118152944405	0.0059179873049225	0.00604891427674904	0.00719294630801056
ENSP00000452398-IDR-134-204	0.415166471899436	0.300982222531877	0.26695886632038	0.414218961060016
ENSP00000373948-IDR-817-875	0.000862006082968585	0.00260732180186532	0.00308447953003415	0.000871864860664878
ENSP00000389039-PF00168-322-406	0.0941613429705442	0.123263396822307	0.118268754488908	0.09385383965493
ENSP00000296755-IDR-512-782	0.00431779858542299	0.00324069984205413	0.00389234228672632	0.00435598394619197
ENSP00000308541-PF00089-364-613	0.0398510252845663	0.0368990526930801	0.0356022113078669	0.0398507886625583
ENSP00000311196-IDR-698-802	0.0767135823833634	0.0956922119669891	0.0987603725734484	0.0767342347975661
ENSP00000268603-IDR-703-762	0.00480936910833245	0.0106547031592374	0.0110865485401182	0.00482668638533253
ENSP00000301945-PF05586-396-489	0.000277083973398988	0.000413721970056249	0.000457669351444182	0.00027803285801441
ENSP00000297316-IDR-57-164	0.190449559827516	0.200245797928349	0.201455719234359	0.190606010447999
ENSP00000348478-IDR-80-173	0.00109018676949132	0.00242947595352117	0.00214679718581433	0.00108859030676004
